benchmark_number,benchmark_name,v1_structure_in_dump,v2_structure_in_dump,v1_equals_v2,matching_v2_row_count,benchmark_ids_present,example_dump_nids,example_dump_titles
1,Simple Hairpin,True,True,True,14,20111;6141752;20111;6141752,2345;15835;17095;20102;20107,The Small Hairpin - Difficulty Level 2  | The Small Hairpin - Difficulty Level 3 | The Small Hairpin - Difficulty Level 1 | Hairpin Series | Hairpin RNA 
2,Arabidopsis Thaliana 6 RNA - Difficulty Level 0,True,True,True,8,215430;6141758;215430;6141758,215430;215545;215654;215724;215758,Arabidopsis Thaliana 6 RNA - Difficulty Level 0 | Arabidopsis Thaliana 6 RNA - Difficulty Level 1 | Arabidopsis Thaliana 6 RNA - Difficulty Level 2 | Arabidopsis Thaliana 6 RNA - Difficulty Level 3 | Arabidopsis Thaliana 6 RNA - Difficulty Level 4
3,Prion Pseudoknot - Difficulty Level 0,True,True,True,9,15819;6141785;15819;6141785,15737;15819;15821;17101;1538858,Prion Pseudoknot - Difficulty Level 2 | Prion Pseudoknot - Difficulty Level 0 | Prion Pseudoknot - Difficulty Level 3 | Prion Pseudoknot - Difficulty Level 1 | Project : trial 
4,Human Integrated Adenovirus - Difficulty Level 0,True,True,True,7,15886;6145454;15886;6145454,15297;15886;15888;17083;273331,Human Integrated Adenovirus - Difficulty Level 2 | Human Integrated Adenovirus - Difficulty Level 0 | Human Integrated Adenovirus - Difficulty Level 3 | Human Integrated Adenovirus - Difficulty Level 1 | Human Integrated Adenovirus - Difficulty Level 4
5,The Gammaretrovirus Signal - Difficulty Level 0,True,True,True,3,13293612;6145456;13293612;6145456,6145456;13293612;13294238,[VRNA_2]The Alternate Eterna100: The Gammaretrovirus Signal - Difficulty Level 0 by Sneh | The Gammaretrovirus Signal - Difficulty Level 0 - Eterna100 version | GRV
6,Saccharomyces Cerevisiae - Difficulty Level 0,True,True,True,9,17811;6145460;17811;6145460,14022;17811;17812;17813;17819,Saccharomyces Cerevisiae - Difficulty Level 3   | Saccharomyces Cerevisiae - Difficulty Level 0 | Saccharomyces Cerevisiae - Difficulty Level 1 | Saccharomyces Cerevisiae - Difficulty Level 4 | Saccharomyces Cerevisiae - Difficulty Level 2
7,Fractal 2,True,True,True,4,13687;6155338;13687;6155338,13687;6155338;8938436;11578991,Fractal 2 | [VRNA_2]The Alternate Eterna100: Fractal 2 by pkinney | [NuPACK]The Alternate Eterna100: Fractal 2 by pkinney | [EFOLD] The Unaccredited Eterna100 - Fractal 2 
8,G-C Placement,True,True,True,3,1074756;6155347;1074756;6155347,1074756;6155347;8938440,G-C Placement | [VRNA_2]The Alternate Eterna100: G-C Placement by hoglahoo | [NuPACK]The Alternate Eterna100: G-C Placement by hoglahoo
9,The Sun,True,True,True,4,13840;6155382;13840;6155382,13840;6155382;8938447;11599242,The Sun | [VRNA_2]The Alternate Eterna100: The Sun by pkinney | [NuPACK]The Alternate Eterna100: The Sun by pkinney | [EFOLD]The Unaccredited Eterna100 - The Sun
10,Frog Foot,True,True,True,5,426871;6158730;426871;6158730,426871;6158730;8938463;11526491;11526862,Frog Foot | [VRNA_2]The Alternate Eterna100: Frog Foot by kmcole | [NuPACK]The Alternate Eterna100: Frog Foot by kmcole | Frog Foot | [EFOLD]Ribbit
11,InfoRNA test 16,True,True,True,3,816170;6158732;816170;6158732,816170;6158732;8938449,InfoRNA test 16 | [VRNA_2]The Alternate Eterna100: InfoRNA test 16 by paramodic | [NuPACK]The Alternate Eterna100: InfoRNA test 16 by paramodic
12,Mat - Martian 2,True,True,True,5,399912;6158733;399912;6158733,399912;6158733;8938451;10183662;11590656,Mat – Martian 2 | [VRNA_2]The Alternate Eterna100: Mat – Martian 2 by mat747 | [NuPACK]The Alternate Eterna100: Mat – Martian 2 by mat747 | [EFOLD]The alternate alternate eterna100: Martian 2 by mat747 | [EFOLD]The Unaccredited Eterna100 - Mat – Martian 2
13,square,True,True,True,3,756881;6162826;756881;6162826,756881;6162826;8938445,square | [VRNA_2]The Alternate Eterna100: square by jboanmit | [NuPACK]The Alternate Eterna100: square by jboanmit
14,Six legd turtle 2,True,True,True,2,446042;6162827;446042;6162827,446042;6162827,Six legd turtle 2 | [VRNA_2]The Alternate Eterna100: Six legd turtle 2 by Eli Fisker
15,Small and Easy 6,True,True,True,3,727172;6162828;727172;6162828,727172;2511481;6162828,Small and Easy 6 | Easy Deja Vu | [VRNA_2]The Alternate Eterna100: Small and Easy 6 by Brourd
16,Fractile,True,True,True,2,443196;6166698;443196;6166698,443196;6166698,Fractile | [VRNA_2]The Alternate Eterna100: Fractile by penguian
17,Six legd Turtle,True,True,True,2,445593;6166699;445593;6166699,445593;6166699,Six legd Turtle | [VRNA_2]The Alternate Eterna100: Six legd Turtle by Eli Fisker
18,snoRNA SNORD64,True,True,True,4,1427482;6166702;1427482;6166702,1427482;6166702;8938456;11598868,snoRNA SNORD64 | [VRNA_2]The Alternate Eterna100: snoRNA SNORD64 by ribonucleic | [NuPACK]The Alternate Eterna100: snoRNA SNORD64 by ribonucleic | [EFOLD]The Unaccredited Eterna100 - snoRNA SNORD64
19,Chalk Outline,True,True,True,6,461984;6184374;461984;6184374,461984;4837727;6184374;8938496;9939610,Chalk Outline | [Lab Tutorial] When to celebrate christmas? | [VRNA_2]The Alternate Eterna100: Chalk Outline by Quasispecies | [NuPACK]The Alternate Eterna100: Chalk Outline by Quasispecies | Classic Eterna Dotplot 13
20,InfoRNA bulge test 9,True,True,True,3,775904;6184375;775904;6184375,775904;6184375;8938458,InfoRNA bulge test 9 | [VRNA_2]The Alternate Eterna100: InfoRNA bulge test 9 by paramodic | [NuPACK]The Alternate Eterna100: InfoRNA bulge test 9 by paramodic
21,Tilted Russian Cross,True,True,True,4,601331;6184376;601331;6184376,601331;6184376;8938513;11614747,Tilted Russian Cross | [VRNA_2]The Alternate Eterna100: Tilted Russian Cross by paramodic | [NuPACK]The Alternate Eterna100: Tilted Russian Cross by paramodic | [EFOLD]The Alternate Eterna100 - Tilted Russian Cross
22,This is ACTUALLY Small And Easy 6,True,True,True,14,3084759;13292626;3084759;13292626,1729653;3084759;3551948;4785940;6375995,400 Again | This is ACTUALLY Small And Easy 6 | random puzzle: :) | My Pet Line (399 or 400) | What The
23,Shortie 4,True,True,True,3,997382;8935079;997382;8935079,997382;8935079;8938545,Shortie 4 | [VRNA_2]The Alternate Eterna100: Shortie 4 by Eli Fisker | [NuPACK]The Alternate Eterna100: Shortie 4 by Eli Fisker
24,Shape Test,True,True,True,5,472029;8928807;472029;8928807,472029;4784442;8928807;8938503;9939647,Shape Test | [Lab Tutorial] Energy - Hit a good energy range | [VRNA_2]The Alternate Eterna100: Shape Test by Brourd | [NuPACK]The Alternate Eterna100: Shape Test by Brourd | Classic Eterna Dotplot 14
25,The Minitsry,True,True,True,3,427350;13292629;427350;13292629,427350;11590119;13292629,The Minitsry | [EFOLD]The Unaccredited Eterna100 - The Minitsry | [VRNA_2]The Alternate Eterna100: The Minitsry by penguian
26,stickshift,True,True,True,4,852950;8928809;852950;8928809,852950;8601824;8928809;8938523,stickshift | Stickshift 2 | [VRNA_2]The Alternate Eterna100: stickshift by jandersonlee | [NuPACK]The Alternate Eterna100: stickshift by jandersonlee
27,U,True,True,True,3,426038;8935115;426038;8935115,426038;8935115;8938589,U  | [VRNA_2]The Alternate Eterna100: U by Joshua Weitzman | [NuPACK]The Alternate Eterna100: U by Joshua Weitzman
28,Still Life (Sunflower In A Vase),True,True,True,3,404191;8935113;404191;8935113,404191;8935113;11584716,Still Life (Sunflower In A Vase) | [VRNA_2]The Alternate Eterna100: Still Life (Sunflower In A Vase) by boganis | [EFOLD]The Unaccredited Eterna100 - Still Life (Sunflower In A Vase)
29,Quasispecies 2-2 Loop Challenge,True,True,True,3,552663;8935120;552663;8935120,552663;8935120;8938593,Quasispecies 2-2 Loop Challenge | [VRNA_2]The Alternate Eterna100: Quasispecies 2-2 Loop Challenge by Quasispecies | [NuPACK]The Alternate Eterna100: Quasispecies 2-2 Loop Challenge by Quasispecies
30,Corner bulge training,True,True,True,17,1452086;8935100;1452086;8935100,1452086;3448469;3448473;3448478;3452233,Corner bulge training | Corner bulge tutorial 1 | Corner bulge tutorial 2 | Corner bulge tutorial 3 | Corner bulge tutorial 4
31,Spiral,True,True,True,4,535777;8928846;535777;8928846,535777;8928846;8938537;11618315,Spiral | [VRNA_2]The Alternate Eterna100: Spiral by MindofScience3 | [NuPACK]The Alternate Eterna100: Spiral by MindofScience3 | [EFOLD]The Alternate Eterna100 - Spiral
32,InfoRNA bulge test,True,True,True,4,736567;8935111;736567;8935111,736567;8935111;8938567;11605188,InfoRNA bulge test | [VRNA_2]The Alternate Eterna100: InfoRNA bulge test by paramodic | [NuPACK]The Alternate Eterna100: InfoRNA bulge test by paramodic | [EFOLD]The Unaccredited Eterna100 - InfoRNA bulge test
33,Worm 1,True,True,True,2,1569272;8935137;1569272;8935137,1569272;8935137,Worm 1 | [VRNA_2]The Alternate Eterna100: Worm 1 by ribonucleic
34,just down to 1 bulge,True,True,True,3,742530;8935086;742530;8935086,742530;8935086;8938553,just down to 1 bulge  | [VRNA_2]The Alternate Eterna100: just down to 1 bulge by Edward Lane | [NuPACK]The Alternate Eterna100: just down to 1 bulge by Edward Lane
35,Iron Cross,True,True,True,3,530172;8935147;530172;8935147,530172;8935147;8938612,Iron Cross | [VRNA_2]The Alternate Eterna100: Iron Cross by MindofScience3 | [NuPACK]The Alternate Eterna100: Iron Cross by MindofScience3
36,loops and stems,True,True,True,3,1487670;8935130;1487670;8935130,1487670;8935130;8938603,loops and stems | [VRNA_2]The Alternate Eterna100: loops and stems by Owen099 | [NuPACK]The Alternate Eterna100: loops and stems by Owen099
37,Water Strider,True,True,True,7,460087;8935166;460087;8935166,460087;4837936;6502999;8935166;8938644,Water Strider | [Lab Tutorial] When to go Santa | [Microfluidic Chip] Level 6 of 7 | [VRNA_2]The Alternate Eterna100: Water Strider by Quasispecies | [NuPACK]The Alternate Eterna100: Water Strider by Quasispecies
38,The Turtle(s) Move(s),True,True,True,2,401904;8935204;401904;8935204,401904;8935204,The Turtle(s) Move(s) | [VRNA_2]The Alternate Eterna100: The Turtle(s) Move(s) by boganis
39,Adenine,True,True,True,8,2463193;8935109;2463193;8935109,2463193;2499278;2499284;2499353;5058562,Adenine | Adenine - Level 1 | Adenine - Level 2 | Adenine on acid | [Lab Tutorial] Learn the RNA alphabet - Adenine
40,Tripod5,True,True,True,3,903842;8935172;903842;8935172,903842;8935172;8938651,Tripod5 | [VRNA_2]The Alternate Eterna100: Tripod5 by jandersonlee | [NuPACK]The Alternate Eterna100: Tripod5 by jandersonlee
41,Shortie 6,True,True,True,3,997391;8935128;997391;8935128,997391;8935128;8938595,Shortie 6 | [VRNA_2]The Alternate Eterna100: Shortie 6 by Eli Fisker | [NuPACK]The Alternate Eterna100: Shortie 6 by Eli Fisker
42,Runner,True,True,True,3,888104;8935139;888104;8935139,888104;8935139;8938607,Runner | [VRNA_2]The Alternate Eterna100: Runner by Yoshi789 | [NuPACK]The Alternate Eterna100: Runner by Yoshi789
43,Recoil,True,True,True,4,969361;8935132;969361;8935132,969361;8935132;8938605;11601970,Recoil | [VRNA_2]The Alternate Eterna100: Recoil by largevee | [NuPACK]The Alternate Eterna100: Recoil by largevee | [EFOLD]The Unaccredited Eterna100 - Recoil
44,[CloudBeta] An Arm and a Leg 1.0,True,True,True,3,2320259;8935152;2320259;8935152,2320259;8935152;8938636,[CloudBeta] An Arm and a Leg 1.0 | [VRNA_2]The Alternate Eterna100: [CloudBeta] An Arm and a Leg 1.0 by kcabral28 | [NuPACK]The Alternate Eterna100: [CloudBeta] An Arm and a Leg 1.0 by kcabral28
45,[CloudBeta] 5 Adjacent Stack Multi-Branch Loop,True,True,True,3,2322879;8935183;2322879;8935183,2322879;8935183;8938653,[CloudBeta] 5 Adjacent Stack Multi-Branch Loop | [VRNA_2]The Alternate Eterna100: [CloudBeta] 5 Adjacent Stack Multi-Branch Loop by Brourd | [NuPACK]The Alternate Eterna100: [CloudBeta] 5 Adjacent Stack Multi-Branch Loop by Brourd
46,Triple Y,True,True,True,3,481598;8935192;481598;8935192,481598;8935192;8938661,Triple Y | [VRNA_2]The Alternate Eterna100: Triple Y by Quasispecies | [NuPACK]The Alternate Eterna100: Triple Y by Quasispecies
47,Misfolded Aptamer,True,True,True,3,683941;8935206;683941;8935206,683941;8935206;8938694,Misfolded Aptamer | [VRNA_2]The Alternate Eterna100: Misfolded Aptamer by starryjess | [NuPACK]The Alternate Eterna100: Misfolded Aptamer by starryjess
48,Flower power,True,True,True,3,1884959;8935186;1884959;8935186,1884959;8935186;8938655,Flower power | [VRNA_2]The Alternate Eterna100: Flower power by ariel19_89 | [NuPACK]The Alternate Eterna100: Flower power by ariel19_89
49,Kudzu,True,True,True,5,458872;8935212;458872;8935212,458872;4837795;8935212;8938702;9936123,Kudzu | [Lab Tutorial] When to decorate christmas tree? | [VRNA_2]The Alternate Eterna100: Kudzu by Quasispecies | [NuPACK]The Alternate Eterna100: Kudzu by Quasispecies | Classic Eterna Dotplot 12
50,"1,2,3and4bulges",True,True,False,2,737448;9705952;9707784;9474514,9474514;9707784,"[VRNA_2][Eterna100Redesign]1,2,3and4bulges | [Eterna100-v2][Vienna 1]  83. 1,2,3and4bulges"
51,medallion,True,True,True,2,1398974;8935202;1398974;8935202,1398974;8935202,medallion | [VRNA_2]The Alternate Eterna100: medallion by mspano
52,[RNA] Repetitious Sequences 8/10,True,True,False,2,3144144;9705950;9707779;9474548,9474548;9707779,[VRNA_2][Eterna100Redesign][RNA] Repetitious Sequences 8/10 | [Eterna100-v2][Vienna 1]  82. [RNA] Repetitious Sequences 8/10
53,Documenting repetitious behavior,True,True,True,3,3194980;8935158;3194980;8935158,3194980;8935158;8938640,Documenting repetitious behavior | [VRNA_2]The Alternate Eterna100: Documenting repetitious behavior by paramodic | [NuPACK]The Alternate Eterna100: Documenting repetitious behavior by paramodic
54,7 multiloop,True,True,True,6,2569877;8935198;2569877;8935198,2569877;8935198;8938671;9178829;11605289,7 multiloop | [VRNA_2]The Alternate Eterna100: 7 multiloop by wateronthemoon | [NuPACK]The Alternate Eterna100: 7 multiloop by wateronthemoon | Boost Me #50 | [EFOLD]The Unaccredited Eterna100 - 7 multiloop
55,Kyurem 7,True,True,True,5,550435;9492564;550435;9492564,550435;8938704;9492564;11464748;11599953,Kyurem 7 | [NuPACK]The Alternate Eterna100: Kyurem 7 by Freywa | [VRNA_2]The Alternate Eterna100: Kyurem 7 by Freywa | [EFOLD]Kyurem 7 | [EFOLD]The Unaccredited Eterna100 - Kyurem 7
56,JF1,True,True,True,3,458607;8935216;458607;8935216,458607;8935216;8938707,JF1 | [VRNA_2]The Alternate Eterna100: JF1 by Quasispecies | [NuPACK]The Alternate Eterna100: JF1 by Quasispecies
57,multilooping fun,True,True,False,2,2493932;9705961;9707788;9473964,9473964;9707788,[VRNA_2][Eterna100Redesign]multilooping fun | [Eterna100-v2][Vienna 1]  85. multilooping fun
58,Multiloop...,True,True,True,3,4238942;8935194;4238942;8935194,4238942;8935194;8938663,Multiloop... | [VRNA_2]The Alternate Eterna100: Multiloop... by qwed117 | [NuPACK]The Alternate Eterna100: Multiloop... by qwed117
59,hard Y,True,True,True,2,422821;8935249;422821;8935249,422821;8935249,hard Y | [VRNA_2]The Alternate Eterna100: hard Y by Joshua Weitzman
60,Mat - Elements & Sections,True,True,False,2,479654;9705969;9707792;9482571,9482571;9707792,[VRNA_2][Eterna100Redesign]Mat - Elements & Sections  | [Eterna100-v2][Vienna 1]  87. Mat – Elements & Sections
61,Chicken feet,True,True,False,2,457731;9705965;9707790;9477391,9477391;9707790,[VRNA_2][Eterna100Redesign]Chicken feet | [Eterna100-v2][Vienna 1]  86. Chicken feet
62,Bug 18,True,True,True,4,970812;8935230;970812;8935230,970812;8935230;8938726;10115460,Bug 18 | [VRNA_2]The Alternate Eterna100: Bug 18 by jandersonlee | [NuPACK]The Alternate Eterna100: Bug 18 by jandersonlee | Easier bug 18
63,Fractal star x5,True,True,True,3,3676828;8935222;3676828;8935222,3676828;8935222;8938712,Fractal star x5 | [VRNA_2]The Alternate Eterna100: Fractal star x5 by Crul | [NuPACK]The Alternate Eterna100: Fractal star x5 by Crul
64,Crop circle 2,True,True,True,3,448277;8910003;448277;8910003,448277;8910003;8940592,Crop circle 2 | [VRNA_2]The Alternate Eterna100: Crop circle 2 by Eli Fisker | [NuPACK]The Alternate Eterna100: Crop circle 2 by Eli Fisker
65,Branching Loop,True,True,True,2,459030;9492557;459030;9492557,459030;9492557,Branching Loop | [VRNA_2]The Alternate Eterna100: Branching Loop by Brourd
66,Bug 38,True,True,True,3,1005956;8935259;1005956;8935259,1005956;8880318;8935259,Bug 38 | Bug 38.2 | [VRNA_2]The Alternate Eterna100: Bug 38 by jandersonlee
67,Simple Single Bond,True,True,False,3,457023;9705957;9707786;9475286,9475286;9707786;10207729,[VRNA_2][Eterna100Redesign]Simple Single Bond | [Eterna100-v2][Vienna 1]  84. Simple Single Bond | Even simpler single bond
68,Taraxacum officinale,True,True,True,3,1887121;8950194;1887121;8950194,1887121;8938720;8950194,Taraxacum officinale | [NuPACK]The Alternate Eterna100: Taraxacum officinale by ariel19_89 | [VRNA_2]The Alternate Eterna100: Taraxacum officinale by ariel19_89
69,Headless Bug on Windshield,True,True,True,3,461805;8935274;461805;8935274,461805;8935274;8940596,Headless Bug on Windshield | [VRNA_2]The Alternate Eterna100: Headless Bug on Windshield by Quasispecies | [NuPACK]The Alternate Eterna100: Headless Bug on Windshield by Quasispecies
70,Pokeball,True,True,True,3,2418507;8935240;2418507;8935240,2418507;8935240;8938731,Pokeball | [VRNA_2]The Alternate Eterna100: Pokeball by rnjensen45 | [NuPACK]The Alternate Eterna100: Pokeball by rnjensen45
71,Variation of a crop circle,True,True,True,3,972844;8935232;972844;8935232,972844;8935232;8938728,Variation of a crop circle | [VRNA_2]The Alternate Eterna100: Variation of a crop circle by jboanmit | [NuPACK]The Alternate Eterna100: Variation of a crop circle by jboanmit
72,Loop next to a Multiloop,True,True,True,4,472262;8935228;472262;8935228,472262;8935228;8938722;11610494,Loop next to a Multiloop | [VRNA_2]The Alternate Eterna100: Loop next to a Multiloop by Brourd | [NuPACK]The Alternate Eterna100: Loop next to a Multiloop by Brourd | [EFOLD]The Unaccredited Eterna100 - Loop next to a Multiloop
73,Snowflake 4,True,True,True,3,415914;8935290;415914;8935290,415914;8935290;8940609,Snowflake 4 | [VRNA_2]The Alternate Eterna100: Snowflake 4 by Ding | [NuPACK]The Alternate Eterna100: Snowflake 4 by Ding
74,Mat - Cuboid,True,True,True,2,450940;13292896;450940;13292896,450940;13292896,Mat - Cuboid | [VRNA_2]The Alternate Eterna100: Mat - Cuboid by mat747
75,Misfolded Aptamer 6,True,True,True,3,708346;8935270;708346;8935270,708346;8935270;8940594,Misfolded Aptamer 6 | [VRNA_2]The Alternate Eterna100: Misfolded Aptamer 6 by starryjess | [NuPACK]The Alternate Eterna100: Misfolded Aptamer 6 by starryjess
76,Snowflake 3,True,True,True,2,415093;8935297;415093;8935297,415093;8935297,Snowflake 3 | [VRNA_2]The Alternate Eterna100: Snowflake 3 by Ding
77,Hard Y and a bit more,True,True,True,2,443518;8935283;443518;8935283,443518;8935283,Hard Y and a bit more | [VRNA_2]The Alternate Eterna100: Hard Y and a bit more by Joshua Weitzman
78,Mat - Lot 2-2 B,True,True,False,2,451142;9705973;9707794;9477446,9477446;9707794,[VRNA_2][Eterna100Redesign]Mat - Lot 2-2 B | [IMPOSSIBLE?][Eterna100-v2][Vienna 1]  88. Mat – Lot 2-2 B
79,Shapes and Energy,True,True,True,2,480112;8909997;480112;8909997,480112;8909997,Shapes and Energy | [VRNA_2]The Alternate Eterna100: Shapes and Energy by Brourd
80,Spiral of 5's,True,True,False,2,474410;9705986;9707800;9475318,9475318;9707800,[VRNA_2][Eterna100Redesign]Spiral of 5's | [Eterna100-v2][Vienna 1]  91. Spiral of 5’s
81,Campfire,True,True,False,2,547104;9705980;9707796;9474055,9474055;9707796,[VRNA_2] [Eterna100Redesign] JR-Campfire | [Eterna100-v2][Vienna 1]  89. Campfire
82,Anemone,True,True,True,3,3058638;8935338;3058638;8935338,3058638;8935338;8940634,Anemone | [VRNA_2]The Alternate Eterna100: Anemone by wateronthemoon | [NuPACK]The Alternate Eterna100: Anemone by wateronthemoon
83,Fractal 3,True,True,True,4,460166;8935278;460166;8935278,460166;8935278;8940598;10171508,Fractal 3 | [VRNA_2]The Alternate Eterna100: Fractal 3 by Eli Fisker | [NuPACK]The Alternate Eterna100: Fractal 3 by Eli Fisker | [EFOLD]The Alternative Eterna100: Fractal 3
84,Kyurem 5,True,True,True,3,545680;8935403;545680;8935403,545680;8935403;8940640,Kyurem 5 | [VRNA_2]The Alternate Eterna100: Kyurem 5 by Freywa | [NuPACK]The Alternate Eterna100: Kyurem 5 by Freywa
85,Snowflake Necklace ( or v2.0 ),True,True,True,3,624517;8935391;624517;8935391,624517;8935391;8940636,Snowflake Necklace ( or v2.0 ) | [VRNA_2]The Alternate Eterna100: Snowflake Necklace ( or v2.0 ) by Wobble Dynx | [NuPACK]The Alternate Eterna100: Snowflake Necklace ( or v2.0 ) by Wobble Dynx
86,Methaqualone C16H14N2O Structural Representation,True,True,False,2,4891834;9705982;9707798;9477174,9477174;9707798,[VRNA_2][Eterna100Redesign]Methaqualone C16H14N2O | [Eterna100-v2][Vienna 1]  90. Methaqualone C16H14N2O Structural Representation
87,Cat's Toy 2,True,True,False,3,474564;9705993;9707805;13293610,9478545;9707805;13293610,"Another Cat's Toy 2 Mistake | [Eterna100-v2][Vienna 1]  93. Cat’s Toy 2 | [VRNA_2][Eterna100Redesign]Cat's Toy 2, brourd mod (Another Cat's Toy 2 Mistake)"
88,Zigzag Semicircle,True,True,False,2,477402;9705988;9707802;9474084,9474084;9707802,[VRNA_2][Eterna100Redesign]Zigzag Semicircle | [Eterna100-v2][Vienna 1]  92. Zigzag Semicircle
89,Short String 4,True,True,True,4,505782;8909986;505782;8909986,505782;8909986;8940668;10172092,Short String 4 | [VRNA_2]The Alternate Eterna100: Short String 4 by Brourd | [NuPACK]The Alternate Eterna100: Short String 4 by Brourd | [EFOLD]Alternative Eterna100: Short String 4
90,Gladius,True,True,False,2,944766;9705995;9707809;9477077,9477077;9707809,[VRNA_2][Eterna100Redesign]Gladius | [Eterna100-v2][Vienna 1]  94. Gladius
91,Thunderbolt,True,True,False,2,908660;9705997;9707812;9478613,9478613;9707812,[VRNA_2][Eterna100Redesign]Thunderbolt | [Eterna100-v2][Vienna 1]  95. Thunderbolt
92,Mutated chicken feet,True,True,False,2,787674;9705999;9707814;9477795,9477795;9707814,[VRNA_2][Eterna100Redesign]Mutated chicken feet | [Eterna100-v2][Vienna 1]  96. Mutated Chicken feet
93,Chicken Tracks,True,True,True,2,965314;8935417;965314;8935417,965314;8935417,Chicken Tracks | [VRNA_2]The Alternate Eterna100: Chicken Tracks by hoglahoo
94,Looking Back Again,True,True,True,3,726696;8935435;726696;8935435,726696;6650740;8935435,Looking Back Again | Easier Looking Back Again | [VRNA_2]The Alternate Eterna100: Looking Back Again by Brourd
95,Multilooping 6,True,True,True,3,3526038;13292246;3526038;13292246,3526038;8940780;13292246,Multilooping 6 | [NuPACK]The Alternate Eterna100: Multilooping 6 by jnicol | [VRNA_2]The Alternate Eterna100: Multilooping 6 by jnicol
96,Cesspool,True,True,False,2,911841;9706003;9707816;9474730,9474730;9707816,[VRNA_2][Eterna100Redesign]JR-Cesspool | [Eterna100-v2][Vienna 1]  97. Cesspool
97,Hoglafractal,True,True,False,2,1632102;9706005;9707818;9480251,9480251;9707818,[VRNA_2][Eterna100Redesign]Hoglafractal  | [Eterna100-v2][Vienna 1]  98. Hoglafractal
98,Bullseye,True,True,True,4,965280;8935413;965280;8935413,965280;8935413;8940661;10150855,Bullseye | [VRNA_2]The Alternate Eterna100: Bullseye by hoglahoo | [NuPACK]The Alternate Eterna100: Bullseye by hoglahoo | [EFOLD] Eterna100 Bulls eye
99,Shooting Star,True,True,False,2,913357;9706010;9707820;9597797,9597797;9707820,[VRNA_2][Eterna100Redesign]Shooting Star | [IMPOSSIBLE?][Eterna100-v2][Vienna 1]  99. Shooting Star
100,Teslagon,True,True,False,2,6050904;9706012;9707822;9479126,9479126;9707822,[VRNA_2][Eterna100Redesigned]Teslagon | [IMPOSSIBLE?][Eterna100-v2][Vienna 1]  100. Teslagon
