puzzle_idx,puzzle,method,mean_F1
0,Q01,Struct2SeQ,0.9276650974443708
0,Q01,Struct2SeQ-SHAPE,0.9669923927738358
0,Q01,gRNAde,0.8345373773250995
0,Q01,MPNN-RFdiff,0.9305606501959938
0,Q01,MPNN-fixbb,0.8120120941219439
0,Q01,Rosetta,
0,Q01,Ours (top-20 of K=1000),0.94353505
1,Q02,Struct2SeQ,0.9868543039780411
1,Q02,Struct2SeQ-SHAPE,0.9970873786407767
1,Q02,gRNAde,0.9604605917043363
1,Q02,MPNN-RFdiff,0.9950390272036913
1,Q02,MPNN-fixbb,0.9915937710275882
1,Q02,Rosetta,
1,Q02,Ours (top-20 of K=1000),1.0
2,Q03,Struct2SeQ,0.991764054458993
2,Q03,Struct2SeQ-SHAPE,0.8248347369192002
2,Q03,gRNAde,0.7120329800298995
2,Q03,MPNN-RFdiff,0.968831756576513
2,Q03,MPNN-fixbb,0.8369634434732445
2,Q03,Rosetta,
2,Q03,Ours (top-20 of K=1000),1.0
3,Q04,Struct2SeQ,0.9368838563166534
3,Q04,Struct2SeQ-SHAPE,0.8454684990874146
3,Q04,gRNAde,0.8947777046203992
3,Q04,MPNN-RFdiff,0.9463949682482005
3,Q04,MPNN-fixbb,0.908200304068511
3,Q04,Rosetta,
3,Q04,Ours (top-20 of K=1000),0.97417125
4,Q05,Struct2SeQ,0.9538034904421796
4,Q05,Struct2SeQ-SHAPE,0.9822455447174547
4,Q05,gRNAde,0.8972871859447105
4,Q05,MPNN-RFdiff,0.9572852607415383
4,Q05,MPNN-fixbb,0.9403107131297874
4,Q05,Rosetta,
4,Q05,Ours (top-20 of K=1000),0.977778
5,Q06,Struct2SeQ,0.9604983756011741
5,Q06,Struct2SeQ-SHAPE,0.8912426197682922
5,Q06,gRNAde,0.5428994060069492
5,Q06,MPNN-RFdiff,0.9208637418112593
5,Q06,MPNN-fixbb,0.5228220567763857
5,Q06,Rosetta,
5,Q06,Ours (top-20 of K=1000),0.9671557500000001
6,Q07,Struct2SeQ,0.9853567826141667
6,Q07,Struct2SeQ-SHAPE,0.9749337486626517
6,Q07,gRNAde,0.9751991553798682
6,Q07,MPNN-RFdiff,0.9898403442549013
6,Q07,MPNN-fixbb,0.9193751296444121
6,Q07,Rosetta,
6,Q07,Ours (top-20 of K=1000),1.0
7,Q08,Struct2SeQ,0.9917544796975177
7,Q08,Struct2SeQ-SHAPE,0.97396761023446
7,Q08,gRNAde,0.9394738865311727
7,Q08,MPNN-RFdiff,0.9924515399040716
7,Q08,MPNN-fixbb,0.9480016654458818
7,Q08,Rosetta,
7,Q08,Ours (top-20 of K=1000),1.0
8,Q09,Struct2SeQ,0.9799397894304864
8,Q09,Struct2SeQ-SHAPE,0.9807188194688194
8,Q09,gRNAde,0.9232500081678532
8,Q09,MPNN-RFdiff,0.9788919297290857
8,Q09,MPNN-fixbb,0.8958471559358067
8,Q09,Rosetta,
8,Q09,Ours (top-20 of K=1000),1.0
9,Q10,Struct2SeQ,0.8375086617581241
9,Q10,Struct2SeQ-SHAPE,0.852718734655624
9,Q10,gRNAde,0.6490396518649686
9,Q10,MPNN-RFdiff,0.9393249896990395
9,Q10,MPNN-fixbb,0.9177795441255496
9,Q10,Rosetta,
9,Q10,Ours (top-20 of K=1000),1.0
10,Q11,Struct2SeQ,0.9165688986231173
10,Q11,Struct2SeQ-SHAPE,0.9306206613632234
10,Q11,gRNAde,0.9159463810547918
10,Q11,MPNN-RFdiff,0.9666762912085559
10,Q11,MPNN-fixbb,0.8235556028615101
10,Q11,Rosetta,
10,Q11,Ours (top-20 of K=1000),1.0
11,Q12,Struct2SeQ,0.9019652701916974
11,Q12,Struct2SeQ-SHAPE,0.8364993028002511
11,Q12,gRNAde,0.6205908198639528
11,Q12,MPNN-RFdiff,0.9537075316200451
11,Q12,MPNN-fixbb,0.6597752038039447
11,Q12,Rosetta,
11,Q12,Ours (top-20 of K=1000),0.9885868
12,Q13,Struct2SeQ,0.9716736035196393
12,Q13,Struct2SeQ-SHAPE,0.9663530922186927
12,Q13,gRNAde,0.8750260995654505
12,Q13,MPNN-RFdiff,0.9500735214857375
12,Q13,MPNN-fixbb,0.9367321761756866
12,Q13,Rosetta,
12,Q13,Ours (top-20 of K=1000),0.984375
13,Q14,Struct2SeQ,0.9841180585828256
13,Q14,Struct2SeQ-SHAPE,0.9958193668528864
13,Q14,gRNAde,0.7326143515110972
13,Q14,MPNN-RFdiff,0.9778143137123344
13,Q14,MPNN-fixbb,0.9328549091943474
13,Q14,Rosetta,
13,Q14,Ours (top-20 of K=1000),0.9884188500000001
14,Q15,Struct2SeQ,0.9900424983351623
14,Q15,Struct2SeQ-SHAPE,0.9644786269455979
14,Q15,gRNAde,0.7812283993514868
14,Q15,MPNN-RFdiff,0.9617245425570158
14,Q15,MPNN-fixbb,0.7667229694630546
14,Q15,Rosetta,
14,Q15,Ours (top-20 of K=1000),1.0
15,Q16,Struct2SeQ,0.9840502755746738
15,Q16,Struct2SeQ-SHAPE,0.9791272650738423
15,Q16,gRNAde,0.8617754535574317
15,Q16,MPNN-RFdiff,0.9891443790148411
15,Q16,MPNN-fixbb,0.8733622539741532
15,Q16,Rosetta,
15,Q16,Ours (top-20 of K=1000),1.0
16,Q17,Struct2SeQ,0.9611732864170591
16,Q17,Struct2SeQ-SHAPE,0.9632528813463417
16,Q17,gRNAde,0.8708175669024925
16,Q17,MPNN-RFdiff,0.9535652348249121
16,Q17,MPNN-fixbb,0.9386881705892215
16,Q17,Rosetta,
16,Q17,Ours (top-20 of K=1000),1.0
17,Q18,Struct2SeQ,0.9415492110906742
17,Q18,Struct2SeQ-SHAPE,0.9466508082982825
17,Q18,gRNAde,0.8535536604013029
17,Q18,MPNN-RFdiff,0.9440935990076417
17,Q18,MPNN-fixbb,0.9114872295576479
17,Q18,Rosetta,
17,Q18,Ours (top-20 of K=1000),0.9826086
18,Q19,Struct2SeQ,0.9847400584630879
18,Q19,Struct2SeQ-SHAPE,0.98341440349115
18,Q19,gRNAde,0.9411072936119907
18,Q19,MPNN-RFdiff,0.9860082313873797
18,Q19,MPNN-fixbb,0.846690873619642
18,Q19,Rosetta,
18,Q19,Ours (top-20 of K=1000),1.0
19,Q20,Struct2SeQ,0.8587944266345293
19,Q20,Struct2SeQ-SHAPE,0.7544562993679811
19,Q20,gRNAde,0.7229784213745895
19,Q20,MPNN-RFdiff,0.8738384349564605
19,Q20,MPNN-fixbb,0.8271633932584301
19,Q20,Rosetta,
19,Q20,Ours (top-20 of K=1000),0.8769499
